group,n_trials,rmse_sensor_nmpkg,r2_sensor,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase
overall,16,0.19235000000000002,0.61525625,0.15341875,0.7398312499999999,20.2397972446062,0.12457499999999999
RA,8,0.1680875,0.65055,0.1352375,0.7652249999999999,19.54339257827024,0.11467499999999997
RD,8,0.21661249999999999,0.5799625,0.1716,0.7144375000000001,20.780195048762184,0.134475
