group,n_trials,rmse_sensor_nmpkg,r2_sensor,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase
overall,31,0.22296850820673536,0.5838785017735029,0.20421203730429652,0.6468472460447162,8.412161454230088,0.06296874427121335
LG,23,0.1991901279613145,0.6339321794102075,0.20593055397791538,0.6114333426530234,-3.3839157018413917,-0.022498836757184115
RA,8,0.2913313514123205,0.43997417856797716,0.19927130186764241,0.7486622182958337,31.599774311411394,0.3086880397278565
