replay_method,unit,rmse_mean_std,r2_mean_std,n_trials
Encoder replay,N·m/kg / R²,0.192 ± 0.039,0.615 ± 0.141,16
Vicon IK oracle,N·m/kg / R²,0.153 ± 0.036,0.740 ± 0.158,16
