trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB07_Amy::RA_0p8mps,AB07_Amy,RA_0p8mps,ankle,ankle_angle_r,0.18369424210000002,0.175790927,-0.007903315100000002,0.9183694759000001,0.8993244719,-0.019045004000000088
AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,ankle,ankle_angle_r,0.12337173280000001,0.2091617946,0.0857900618,0.9330016476,0.786454724,-0.1465469236
AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,ankle,ankle_angle_r,0.1675712865,0.2000269667,0.0324556802,0.9532762894000001,0.9217752102000001,-0.031501079200000004
AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG_1p2mps,ankle,ankle_angle_r,0.19320514290000002,0.22337796170000002,0.0301728188,0.9448902666000001,0.9481513012,0.0032610345999999346
AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG_1p6mps,ankle,ankle_angle_r,0.20830543270000001,0.3276571005,0.1193516678,0.9807484023,0.954163563,-0.026584839299999996
AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,ankle,ankle_angle_r,0.27565268260000003,0.36371145930000004,0.08805877670000001,0.796949941,0.6148111741,-0.18213876690000008
AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,ankle,ankle_angle_r,0.1847536157,0.3808672946,0.1961136789,0.9293055328000001,0.5124127352,-0.4168927976000001
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,hip,hip_flexion_r,0.0903640765,0.10743884990000001,0.017074773400000007,0.8390844923,0.7760214283,-0.06306306400000006
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,hip,hip_flexion_r,0.1348406833,0.1149039005,-0.01993678280000001,0.8648622723,0.8835578842,0.01869561190000002
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,hip,hip_flexion_r,0.1600618355,0.1532232356,-0.006838599899999992,0.9089818894,0.9256169877,0.016635098299999984
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,hip,hip_flexion_r,0.1157467123,0.158680588,0.04293387570000001,0.8770949543000001,0.7399946559,-0.13710029840000004
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,hip,hip_flexion_r,0.1380853387,0.1460575526,0.007972213899999997,0.7023771310000001,0.6437006098,-0.05867652120000011
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,hip,hip_flexion_r,0.1277753976,0.1091512111,-0.0186241865,0.7273694959,0.7595682261000001,0.03219873020000008
