metric,unit,rmse_mean_std,r2_mean_std,rmse_overall,r2_overall,n_observations
ID (model vs OpenSim),N·m/kg / R²,0.147 ± 0.061,0.852 ± 0.137,0.1595,0.8731,234
IK (Awinda vs Vicon),deg / R²,7.438 ± 4.320,0.919 ± 0.103,8.6173,0.8917,234
