trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,ankle,ankle_angle_r,0.1113596479,0.1525992847,0.04123963680000001,0.9309853164,0.8704042382,-0.06058107820000003
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,ankle,ankle_angle_l,0.10469003980000001,0.1600193361,0.05532929629999998,0.9595973063000001,0.9056059717,-0.05399133460000005
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,ankle,ankle_angle_r,0.08639866800000001,0.1465009019,0.060102233899999996,0.9743502685000001,0.9262521563,-0.04809811220000004
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,ankle,ankle_angle_l,0.1104156211,0.1796750885,0.0692594674,0.9665489179000001,0.9114222047,-0.055126713200000066
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,ankle,ankle_angle_r,0.0949003296,0.1789965294,0.0840961998,0.976251984,0.9155147074000001,-0.060737276599999945
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,ankle,ankle_angle_l,0.1460771653,0.1574431883,0.011366023000000003,0.8802162198,0.8608506759000001,-0.019365543899999893
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,ankle,ankle_angle_r,0.2026281268,0.1853564395,-0.017271687300000005,0.7919171682,0.8258786012,0.033961432999999985
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,ankle,ankle_angle_l,0.1730934966,0.20330233490000002,0.030208838300000013,0.8501534167,0.7932859121,-0.05686750460000001
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,ankle,ankle_angle_r,0.1516766017,0.1671979822,0.015521380500000015,0.8846705294,0.8598590095,-0.024811519899999968
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,ankle,ankle_angle_l,0.11929736090000001,0.2083227491,0.0890253882,0.9548827569,0.8624203256,-0.09246243129999998
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,ankle,ankle_angle_r,0.0846171173,0.1659119815,0.0812948642,0.9807602521000001,0.9260329282,-0.05472732390000001
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,ankle,ankle_angle_l,0.11866129600000001,0.22136123400000002,0.102699938,0.9626221723,0.8699234475000001,-0.09269872479999997
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,ankle,ankle_angle_r,0.0992157813,0.16703902880000002,0.06782324750000002,0.9756768011,0.9310562201,-0.04462058099999999
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,ankle,ankle_angle_l,0.2537675205,0.1540077749,-0.0997597456,0.7647765667,0.9133649153000001,0.14858834860000003
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,ankle,ankle_angle_r,0.13781042670000002,0.18690395880000002,0.049093532100000004,0.9259403052,0.8637756439000001,-0.06216466129999998
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,ankle,ankle_angle_l,0.1275523782,0.2374747723,0.10992239409999999,0.9337072925000001,0.7702139835,-0.16349330900000003
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,ankle,ankle_angle_r,0.163188215,0.2147659341,0.0515777191,0.887260076,0.80473206,-0.08252801600000004
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,ankle,ankle_angle_l,0.16186512620000001,0.2223158244,0.060450698199999986,0.8447815964000001,0.7071957436,-0.13758585280000002
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,ankle,ankle_angle_r,0.13743781100000002,0.2051706955,0.06773288449999998,0.8969888786,0.7704367749000001,-0.12655210369999992
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,ankle,ankle_angle_l,0.10463311410000001,0.1715957819,0.06696266779999999,0.9512790123,0.8689638883,-0.08231512399999996
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,ankle,ankle_angle_r,0.1278957715,0.1316711492,0.003775377699999999,0.9332533323000001,0.9292545572,-0.003998775100000018
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,ankle,ankle_angle_l,0.10268685570000001,0.1768618679,0.07417501219999999,0.9665569955000001,0.9007926179,-0.06576437760000009
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,ankle,ankle_angle_r,0.0964754902,0.21792027960000002,0.12144478940000002,0.9687746672,0.8406807024,-0.12809396480000002
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,ankle,ankle_angle_l,0.2129171902,0.1620259393,-0.05089125089999999,0.7699629703,0.8667873725,0.09682440219999999
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,ankle,ankle_angle_r,0.1706052303,0.18914151780000002,0.018536287500000026,0.8428795826000001,0.8068824775000001,-0.03599710509999998
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,ankle,ankle_angle_l,0.14273781430000002,0.3031487873,0.16041097299999998,0.8852313059,0.4823251979,-0.402906108
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,ankle,ankle_angle_r,0.1252248386,0.3208212006,0.19559636200000002,0.9156095542,0.44609097820000004,-0.46951857599999997
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,ankle,ankle_angle_l,0.10113749870000001,0.1497963301,0.048658831400000005,0.9399560004,0.8682812673,-0.07167473310000005
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,ankle,ankle_angle_r,0.1189233943,0.2117205335,0.0927971392,0.9347726470000001,0.7932616140000001,-0.141511033
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,ankle,ankle_angle_l,0.1337075238,0.1583626158,0.02465509199999999,0.9353123538,0.9092566119000001,-0.02605574189999993
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,ankle,ankle_angle_r,0.1403263627,0.1925138389,0.0521874762,0.9408179236,0.8886127273000001,-0.05220519629999998
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,ankle,ankle_angle_l,0.1360962506,0.2791021103,0.1430058597,0.9455405165,0.7709620557,-0.17457846080000006
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,ankle,ankle_angle_r,0.1385707294,0.4469442876,0.3083735582,0.9479474559000001,0.4584909284,-0.48945652750000007
AB07_Amy::RA_0p8mps,AB07_Amy,RA_0p8mps,ankle,ankle_angle_l,0.1776244471,0.1686815379,-0.008942909199999988,0.8621161274,0.8756507706000001,0.013534643200000085
AB07_Amy::RA_0p8mps,AB07_Amy,RA_0p8mps,ankle,ankle_angle_r,0.18369424210000002,0.175790927,-0.007903315100000002,0.8798715457,0.8899860610000001,0.010114515300000071
AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,ankle,ankle_angle_l,0.16011890750000002,0.1465654989,-0.013553408600000011,0.8390936061000001,0.8651808557,0.026087249599999973
AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,ankle,ankle_angle_r,0.12337173280000001,0.2091617946,0.0857900618,0.9242087847,0.7821526605,-0.14205612420000002
AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,ankle,ankle_angle_l,0.15290502790000002,0.1817613371,0.028856309199999985,0.9236921134,0.8921726552,-0.03151945820000002
AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,ankle,ankle_angle_r,0.1675712865,0.2000269667,0.0324556802,0.9144716615,0.8781324934,-0.03633916810000004
AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG_1p2mps,ankle,ankle_angle_l,0.1413051808,0.1801417974,0.038836616599999985,0.9431855385000001,0.9076638615,-0.035521677000000085
AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG_1p2mps,ankle,ankle_angle_r,0.19320514290000002,0.22337796170000002,0.0301728188,0.9075416984,0.876408332,-0.031133366399999973
AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG_1p6mps,ankle,ankle_angle_l,0.1919448223,0.2556947298,0.06374990750000001,0.9111534305000001,0.8423364089,-0.06881702160000003
AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG_1p6mps,ankle,ankle_angle_r,0.20830543270000001,0.3276571005,0.1193516678,0.9130442628000001,0.7848525437,-0.12819171910000005
