condition,label,n_subjects,rmse_mean,rmse_sd,r2_mean,r2_sd
LG_0p8mps,LG 0.8,8,0.10930748913879813,0.045186675644813344,0.8007439243443395,0.13616602631502653
LG_1p2mps,LG 1.2,8,0.14705646290325639,0.03452830688154014,0.8294969672564114,0.07483041037456394
LG_1p6mps,LG 1.6,7,0.24243432418851668,0.07822265437941212,0.7675859907057249,0.0971962750003186
RA_0p8mps,RA 0.8,8,0.12769192928449755,0.03440124231327333,0.888067881772433,0.0769028751467254
