condition,label,n_subjects,rmse_mean,rmse_sd,r2_mean,r2_sd
RA_0p8mps,RA 0.8,7,0.22400038009224846,0.06803562667799945,0.24947783154086864,0.5874695610282802
RD_0p8mps,RD 0.8,7,0.24049938990287215,0.11615142832832949,0.3806150080258353,0.5029130542648138
