trial,channel,joint,subject,condition,rmse_full,r2_full,rmse_single,r2_single,delta_rmse,delta_r2,single_worse_rmse,single_worse_r2
AB02_Oscar::LG_0p8mps,hip_flexion_r,hip,AB02_Oscar,LG_0p8mps,0.1277753976,0.6238473856,0.1091512111,0.725509878,-0.0186241865,0.10166249240000003,False,False
AB02_Oscar::LG_0p8mps,knee_angle_r,knee,AB02_Oscar,LG_0p8mps,0.1774965165,-2.1905347829,0.2164907609,-3.7463804778,0.03899424439999999,-1.5558456949,True,True
AB02_Oscar::LG_0p8mps,ankle_angle_r,ankle,AB02_Oscar,LG_0p8mps,0.14095907030000002,0.9206641415000001,0.1629367623,0.8939961504,0.021977691999999993,-0.026667991100000066,True,True
AB02_Oscar::LG_0p8mps,hip_flexion_l,hip,AB02_Oscar,LG_0p8mps,0.1020539205,0.7435623466,0.1263035536,0.6072162185000001,0.0242496331,-0.1363461280999999,True,True
AB02_Oscar::LG_0p8mps,knee_angle_l,knee,AB02_Oscar,LG_0p8mps,0.2715245147,-3.4965997519,0.30879808810000003,-4.8158787742,0.03727357340000004,-1.3192790223,True,True
AB02_Oscar::LG_0p8mps,ankle_angle_l,ankle,AB02_Oscar,LG_0p8mps,0.18244456920000002,0.876864831,0.1518890175,0.9146560036,-0.030555551700000017,0.03779117259999998,False,False
AB02_Oscar::RA_0p8mps,hip_flexion_r,hip,AB02_Oscar,RA_0p8mps,0.2945002828,0.2705358162,0.1705118053,0.7554647646,-0.1239884775,0.4849289484,False,False
AB02_Oscar::RA_0p8mps,knee_angle_r,knee,AB02_Oscar,RA_0p8mps,0.2148372326,0.6041562716000001,0.1270053494,0.8616597052,-0.08783188320000002,0.25750343359999994,False,False
AB02_Oscar::RA_0p8mps,ankle_angle_r,ankle,AB02_Oscar,RA_0p8mps,0.1473010568,0.9240636429,0.1772038936,0.8901033247000001,0.0299028368,-0.033960318199999895,True,True
AB02_Oscar::RA_0p8mps,hip_flexion_l,hip,AB02_Oscar,RA_0p8mps,0.26921856,0.39067326010000003,0.1809022113,0.7248763056,-0.08831634869999999,0.3342030455,False,False
AB02_Oscar::RA_0p8mps,knee_angle_l,knee,AB02_Oscar,RA_0p8mps,0.254477129,0.4058782743,0.2276658705,0.5244745325,-0.026811258500000018,0.11859625819999997,False,False
AB02_Oscar::RA_0p8mps,ankle_angle_l,ankle,AB02_Oscar,RA_0p8mps,0.1605520417,0.9106539443,0.1900351988,0.8748266665000001,0.02948315709999999,-0.035827277799999946,True,True
AB02_Oscar::RD_0p8mps,hip_flexion_r,hip,AB02_Oscar,RD_0p8mps,0.16129967050000002,0.4508881766,0.22658983770000002,-0.0836142089,0.0652901672,-0.5345023855000001,True,True
AB02_Oscar::RD_0p8mps,knee_angle_r,knee,AB02_Oscar,RD_0p8mps,0.21856078210000002,0.6515311595000001,0.22873121570000002,0.6183455290000001,0.0101704336,-0.03318563050000001,True,True
AB02_Oscar::RD_0p8mps,ankle_angle_r,ankle,AB02_Oscar,RD_0p8mps,0.1417127195,0.9014712291,0.1627187638,0.8700965536,0.0210060443,-0.03137467549999995,True,True
AB02_Oscar::RD_0p8mps,hip_flexion_l,hip,AB02_Oscar,RD_0p8mps,0.1331537526,0.5682005528,0.1983139478,0.0421846762,0.06516019519999999,-0.5260158766,True,True
AB02_Oscar::RD_0p8mps,knee_angle_l,knee,AB02_Oscar,RD_0p8mps,0.2677190653,0.6305849321,0.3249451812,0.4557778578,0.057226115899999985,-0.17480707429999998,True,True
