trial,r2_deploy,r2_enc_offline,r2_vicon,r2_vicon_bias,r2_hybrid_imu_vel,rmse_deploy,rmse_enc_offline,rmse_vicon,rmse_vicon_bias,rmse_hybrid,bias_R_deg,vel_std_ratio_vic_over_imu
ab01_jinwoo_hip_0p8mps_lg_exo_on,0.8527097916917608,0.33485056524091983,0.42929034130653787,0.3742613865228278,0.5402449901425048,0.0789929019661031,0.1678652276658494,0.1554922478557932,0.16281619773180797,0.13956109420573937,-1.9061846475800206,1.0194579049338142
ab01_jinwoo_hip_0p8mps_ra_exo_on,0.8237989208829727,-0.06939079349412158,0.27601291610555423,0.09159527888583752,-0.031240723376887658,0.13476830543166612,0.33201041393751235,0.2731799963292446,0.3060012334061739,0.3260344661074512,-8.88265808514569,1.0054353921262034
ab01_jinwoo_hip_1p2mps_lg_exo_on,0.7032035979396652,0.4989798454295442,0.6673181379124499,0.6680022192160191,0.6338414102249275,0.1551034540179758,0.20152074111100957,0.16421268990802512,0.16404377081337007,0.1722767882916532,0.06959479034425033,1.0355712743891359
ab01_jinwoo_hip_1p6mps_lg_exo_on,0.7181169520628228,0.7457837043125558,0.706004953590976,0.6625777880055688,0.7881179109295712,0.2367728589573059,0.22485323065147753,0.24180620729112837,0.25905040334882834,0.20527901818841954,-2.7327894318525057,1.039398410940757
ab02_oscar_hip_0p8mps_lg_exo_on,0.6144237159471433,0.36375975030199126,0.3855215380510255,-0.18478421576897297,0.45894574037842195,0.1562371584775771,0.20069647510289124,0.19723432924627238,0.2738727387490892,0.18507577864608488,-11.698704358971955,0.9378085727657698
ab02_oscar_hip_0p8mps_ra_exo_on,0.7987924934372992,0.10419751865426241,0.6816078854685828,0.31201406653727703,0.15197111989825662,0.18901301879914362,0.3988189258075518,0.23776656329388596,0.34950984079752073,0.38803861891090224,-17.099881951824816,0.9315006013694503
ab02_oscar_hip_1p2mps_lg_exo_on,0.7249620873373472,0.627275603831408,0.7585194050573205,0.5253628522618015,0.6433911010465252,0.1959333269714258,0.2280898403088615,0.18359174503286466,0.25739072547804775,0.2231043918274022,-12.446339650008028,0.9388350574089931
ab02_oscar_hip_1p6mps_lg_exo_on,0.8204413651276348,0.7414848188738661,0.7837900506063198,0.6323370085186577,0.7181747383897743,0.20374301226870067,0.24446832741095953,0.22357200049980328,0.29154428564803725,0.2552522239636987,-13.720897029298168,0.9681524822315819
ab03_ilseung_hip_0p8mps_lg_exo_on,0.8582938012149423,0.5621362681726987,-0.2699844130186524,0.1711164032032858,0.6287057055425298,0.07925598818265125,0.13931797332551896,0.23726673629324369,0.1916833688998472,0.12829117974135382,6.579338444162787,1.1194734674865305
ab03_ilseung_hip_0p8mps_ra_exo_on,0.8220528646842999,0.22028411451631857,0.3725781216075651,0.26456571644149085,0.22689848733602636,0.17833342772863625,0.37329781501235043,0.3348629401062843,0.3625427230770338,0.37171108980914763,-3.7524369619015263,1.0212573073245728
ab03_ilseung_hip_1p2mps_lg_exo_on,0.8862479878422258,0.8137130320180821,0.4679958662356628,0.5129603274955787,0.865203144959322,0.11519307856806316,0.14741377856809013,0.24911756182028036,0.23835760368912465,0.12539687716761128,3.665490100226816,1.0623195621097647
ab03_ilseung_hip_1p6mps_lg_exo_on,0.8532163177700149,0.8303818342572478,0.6238815237441948,0.6356029234458782,0.8830435947574975,0.1719648459383965,0.18485745388904942,0.2752726855447039,0.27094942136797057,0.15350155931491435,1.49682590224446,1.0738690932606347
ab04_changseob_hip_0p8mps_lg_exo_on,0.8095280285108463,0.17552789399150592,0.505460830332874,0.3586240640550463,0.31136653495726396,0.11142355544462648,0.2318192291303845,0.1795402483235526,0.20446444809408018,0.21186320402035558,-4.876877113398276,0.9168539640318103
