bundle,model,joint,trial,subject,condition,n_ch,n_flagged,mean_rmse,mean_r2,min_r2,max_rmse,flagged
1-DoF/knee,1-DoF,knee,AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,2,1,0.12383636897448297,0.659069512448076,0.5777790629000314,0.14205321449236658,True
1-DoF/knee,1-DoF,knee,AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,2,1,0.08997948942705067,0.6964207516807943,0.5962257447704137,0.10657562049137383,True
1-DoF/knee,1-DoF,knee,AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,2,2,0.09495575782608497,0.5721528637427584,0.5699016817928837,0.11077107623961245,True
1-DoF/knee,1-DoF,knee,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,2,1,0.17303259943797714,0.5993738861789183,0.555196996921463,0.20092244198927497,True
1-DoF/knee,1-DoF,knee,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,2,1,0.18480446347515783,0.664414634329514,0.5753406342200679,0.2056970531006985,True
3-DoF,3-DoF,ankle,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,2,1,0.2982210362805803,0.8471795940095616,0.7697941598179965,0.3802091953233038,True
3-DoF,3-DoF,ankle,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,2,1,0.24099054719161236,0.9183803887283577,0.8730091708793858,0.2799771199670203,True
3-DoF,3-DoF,ankle,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,2,1,0.22296399286889337,0.917435490241327,0.860761459297124,0.33472842852448775,True
3-DoF,3-DoF,ankle,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,2,2,0.5822929466697235,0.3009397459989126,0.042643215769877715,0.7756736383370397,True
3-DoF,3-DoF,ankle,AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,2,1,0.19578897359195158,0.9021246572537179,0.8745878895994056,0.25376752051723966,True
3-DoF,3-DoF,ankle,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,2,1,0.25321225486476234,0.8278921372429189,0.796949940960146,0.2756526826076762,True
3-DoF,3-DoF,hip,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,2,2,0.28185942137199993,0.8005777636394353,0.7891372295165957,0.2945002827726754,True
3-DoF,3-DoF,hip,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,2,2,0.27312043873133096,0.7987665878359803,0.7433181483938084,0.27611840425205175,True
3-DoF,3-DoF,hip,AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,2,1,0.1386047451394556,0.6422661644407268,0.5452436491926266,0.16115359780775884,True
3-DoF,3-DoF,hip,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,2,2,0.3185882687668015,0.2629891020502056,0.24679456290634919,0.3357639479654014,True
3-DoF,3-DoF,hip,AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,2,1,0.22973599996158198,0.7795405523249477,0.7477970681923801,0.25578534873543296,True
3-DoF,3-DoF,hip,AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,2,1,0.1729280810008399,0.6380581721501606,0.5874646127245211,0.1832507269435252,True
3-DoF,3-DoF,hip,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,2,2,0.2568707958874096,0.7344686366840345,0.7267521089006796,0.2603092193879441,True
3-DoF,3-DoF,knee,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,2,1,0.20251293720687796,0.4049754701851839,0.09475978449373891,0.29957952742871485,True
3-DoF,3-DoF,knee,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,2,1,0.1955278525382352,0.6893146383986328,0.4781701270785663,0.3047203252270357,True
3-DoF,3-DoF,knee,AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,2,1,0.18394567967420775,0.8513267271932714,0.7545659315266114,0.284322255562856,True
3-DoF,3-DoF,knee,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,2,2,0.3843398866767508,0.330184120683939,0.17983453515778747,0.5056710062918434,True
3-DoF,3-DoF,knee,AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,2,2,0.22451051558967,0.12242767839370117,0.003222508520982798,0.27152451468367966,True
3-DoF,3-DoF,knee,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,2,1,0.23465718082914205,0.6999156776097935,0.6733154707568126,0.2544771290202525,True
3-DoF,3-DoF,knee,AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,2,1,0.24313992370815474,0.88499522851566,0.8816085766513838,0.26771906527557005,True
3-DoF,3-DoF,knee,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,2,2,0.3859248816830817,0.02323934954497433,0.017391992925875312,0.39997153669862906,True
3-DoF,3-DoF,knee,AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,2,1,0.08778256783472649,0.6521198877380425,0.5955170426115233,0.10391966314324734,True
