bundle,model,joint,trial,subject,condition,channel,display,rmse,r2,lag_s,xcorr,fail_rmse,fail_r2,flagged,fail_reason
1-DoF/hip,1-DoF,hip,AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,hip_flexion_r,Hip R,0.21032641004213054,0.48646155889048875,1.9799999999999578,3.9121914564105413,False,True,True,R²=0.486
1-DoF/hip,1-DoF,hip,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,hip_flexion_r,Hip R,0.21032567475062122,0.48788160340516207,1.829999999999961,3.956067985015208,False,True,True,R²=0.488
1-DoF/hip,1-DoF,hip,AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,hip_flexion_r,Hip R,0.19273284481589564,0.5177336723857441,7.95999999999983,3.8890000939845706,False,True,True,R²=0.518
1-DoF/hip,1-DoF,hip,AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,hip_flexion_l,Hip L,0.19529310742662598,0.5525557660835883,7.95999999999983,3.8890000939845706,False,True,True,R²=0.553
1-DoF/hip,1-DoF,hip,AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,hip_flexion_l,Hip L,0.2774679884365489,0.555424440362443,8.539999999999818,3.984605945354974,True,True,True,"RMSE=0.277, R²=0.555"
1-DoF/hip,1-DoF,hip,AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,hip_flexion_r,Hip R,0.15857806504373942,0.5586666363658414,8.41999999999982,3.9328318664613597,False,True,True,R²=0.559
1-DoF/hip,1-DoF,hip,AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,hip_flexion_l,Hip L,0.15434331929814663,0.5721663772310469,8.41999999999982,3.9328318664613597,False,True,True,R²=0.572
1-DoF/hip,1-DoF,hip,AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,hip_flexion_r,Hip R,0.18048024045791422,0.5736582955735835,2.1399999999999544,3.9494544080466287,False,True,True,R²=0.574
1-DoF/hip,1-DoF,hip,AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,hip_flexion_r,Hip R,0.14040553673104178,0.5767305247805644,7.49999999999984,3.924572345734231,False,True,True,R²=0.577
1-DoF/hip,1-DoF,hip,AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,hip_flexion_l,Hip L,0.15125120288997382,0.576793590524497,2.619999999999944,3.832458983776146,False,True,True,R²=0.577
1-DoF/hip,1-DoF,hip,AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,hip_flexion_r,Hip R,0.29014842189329043,0.5817680114244437,8.539999999999818,3.984605945354974,True,True,True,"RMSE=0.290, R²=0.582"
1-DoF/hip,1-DoF,hip,AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,hip_flexion_l,Hip L,0.18088588449133677,0.5818541560354342,2.1399999999999544,3.9494544080466287,False,True,True,R²=0.582
1-DoF/hip,1-DoF,hip,AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,hip_flexion_l,Hip L,0.2599843943365219,0.6070958232871986,3.5999999999999233,3.951249237366266,True,False,True,RMSE=0.260
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,knee_angle_l,Knee L,0.6456344635549831,0.0007546454230770913,7.459999999999841,3.9183773658107186,True,True,True,"RMSE=0.646, R²=0.001"
1-DoF/knee,1-DoF,knee,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,knee_angle_r,Knee R,0.36366383899602867,0.019220397033057425,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.364, R²=0.019"
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,knee_angle_l,Knee L,0.32646113505334534,0.029207122993584758,7.109999999999848,3.9461892168886123,True,True,True,"RMSE=0.326, R²=0.029"
1-DoF/knee,1-DoF,knee,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,knee_angle_l,Knee L,0.4016441197626016,0.03363372770016294,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.402, R²=0.034"
1-DoF/knee,1-DoF,knee,AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,knee_angle_l,Knee L,0.3087980881227804,0.039437276936806626,3.8599999999999177,3.947452762337149,True,True,True,"RMSE=0.309, R²=0.039"
1-DoF/knee,1-DoF,knee,AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,knee_angle_r,Knee R,0.2164907608870552,0.06085047507136117,3.8599999999999177,3.947452762337149,False,True,True,R²=0.061
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,knee_angle_l,Knee L,0.40527446231098035,0.11990803693895019,7.219999999999846,3.9428819672547317,True,True,True,"RMSE=0.405, R²=0.120"
