trial,rmse_encoder_replay_nmpkg,r2_encoder_replay_nmpkg,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,rmse_deploy_logged_nmpkg,r2_deploy_logged_nmpkg,encoder_ik_xcorr_lag_samples,ang_corr_sensor_vicon,encoder_angle_key,encoder_vel_key,encoder_correction_note,vicon_ik_path,subject,condition,task,speed_mps,offset_s,rmse_deploy_ref_nmpkg,r2_deploy_ref_nmpkg
ab04_changseob_hip_0p8mps_lg_exo_on,0.20211570832494422,0.36502433787818134,0.19674463513832469,0.39832392683670115,0.11142355544462648,0.8095280285108463,1,0.9779599004159323,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB04_Changseob/hip-exo/ik/LG_0p8mps_ik.mot,AB04_Changseob,LG_0p8mps,LG,0.8,-0.231,0.1114,0.8095
ab04_changseob_hip_0p8mps_ra_exo_on,0.2984922871133695,0.5605153158934641,0.22246160859723277,0.7558888235082655,0.14081119828504635,0.9057378254027794,4,0.9725142554906658,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +4 samples,/media/metamobility3/Samsung_T52/Results/processed/AB04_Changseob/hip-exo/ik/RA_0p8mps_ik.mot,AB04_Changseob,RA_0p8mps,RA,0.8,-0.1371,0.1408,0.9057
ab04_changseob_hip_1p2mps_lg_exo_on,0.19061994867024903,0.7440280764208236,0.20412230894751188,0.7064807560678014,0.13945537320498894,0.8653178072030059,1,0.9788761797963504,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB04_Changseob/hip-exo/ik/LG_1p2mps_ik.mot,AB04_Changseob,LG_1p2mps,LG,1.2,-0.23,0.1395,0.8653
ab04_changseob_hip_1p6mps_lg_exo_on,0.23224402490516935,0.7959484214290354,0.25951089872728716,0.7452219182443021,0.2436478897335525,0.7770624025181562,0,0.9843682028507146,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB04_Changseob/hip-exo/ik/LG_1p6mps_ik.mot,AB04_Changseob,LG_1p6mps,LG,1.6,-0.2321,0.2436,0.7771
ab05_maria_hip_0p8mps_lg_exo_on,0.2936241904457548,-0.033935059716028615,0.25575051320366343,0.21559089691144018,0.2014405365771312,0.5153337735071821,0,0.972426484195005,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB05_Maria/hip-exo/ik/LG_0p8mps_ik.mot,AB05_Maria,LG_0p8mps,LG,0.8,-0.2291,0.2014,0.5153
ab05_maria_hip_0p8mps_ra_exo_on,0.3217937628241703,0.346007666682948,0.19930581226749328,0.7491250257197417,0.13250383885728953,0.8907588072261265,1,0.9818886924687579,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB05_Maria/hip-exo/ik/RA_0p8mps_ik.mot,AB05_Maria,RA_0p8mps,RA,0.8,-0.1261,0.1325,0.8908
ab05_maria_hip_1p2mps_lg_exo_on,0.25685561890356895,0.5255040026756588,0.24325762592016634,0.5744139934641599,0.11277522325725667,0.9085123407155287,-1,0.9668724522437616,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB05_Maria/hip-exo/ik/LG_1p2mps_ik.mot,AB05_Maria,LG_1p2mps,LG,1.2,-0.236,0.1128,0.9085
ab06_jimin_hip_0p8mps_lg_exo_on,0.24732434649755225,0.2404861089172481,0.2065438030352733,0.4703044560668126,0.13961110719865297,0.759548394755936,0,0.9712263510034375,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB06_Jimin/hip-exo/ik/LG_0p8mps_ik.mot,AB06_Jimin,LG_0p8mps,LG,0.8,-0.2381,0.1396,0.7595
ab06_jimin_hip_0p8mps_ra_exo_on,0.2867550729253505,0.6070158671684743,0.2189027874415089,0.7709895079611517,0.14019002788676785,0.9087128202064522,3,0.9793063401395922,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +3 samples,/media/metamobility3/Samsung_T52/Results/processed/AB06_Jimin/hip-exo/ik/RA_0p8mps_ik.mot,AB06_Jimin,RA_0p8mps,RA,0.8,-0.2401,0.1402,0.9087
ab06_jimin_hip_1p2mps_lg_exo_on,0.21843163045191466,0.7227188895721006,0.21444629428809944,0.7327447032319752,0.15648653706676183,0.8586844772305318,0,0.9697813910820737,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB06_Jimin/hip-exo/ik/LG_1p2mps_ik.mot,AB06_Jimin,LG_1p2mps,LG,1.2,-0.227,0.1565,0.8587
ab06_jimin_hip_1p6mps_lg_exo_on,0.1936165765337939,0.8802305840675283,0.2266252011690824,0.8359118331141011,0.24566350506605952,0.8080684791041121,0,0.9697504758522065,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB06_Jimin/hip-exo/ik/LG_1p6mps_ik.mot,AB06_Jimin,LG_1p6mps,LG,1.6,-0.2351,0.2457,0.8081
ab07_amy_hip_0p8mps_lg_exo_on,0.17412159801035576,0.6432367179853987,0.20875110622395388,0.48721839991928073,0.11282161839125829,0.8505951554864826,0,0.9811410603358365,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB07_Amy/hip-exo/ik/LG_0p8mps_ik.mot,AB07_Amy,LG_0p8mps,LG,0.8,-0.2161,0.1128,0.8506
ab07_amy_hip_0p8mps_ra_exo_on,0.17345804193588638,0.8329004306033752,0.1646040670095447,0.8495238834461835,0.13231913673289136,0.9029108270813869,0,0.9915133714164711,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB07_Amy/hip-exo/ik/RA_0p8mps_ik.mot,AB07_Amy,RA_0p8mps,RA,0.8,-0.2321,0.1323,0.9029
ab07_amy_hip_1p2mps_lg_exo_on,0.17332829328101382,0.8408231325743379,0.19097679239738202,0.8067576893547574,0.2067695894055273,0.7744638651805298,0,0.9775272257772352,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB07_Amy/hip-exo/ik/LG_1p2mps_ik.mot,AB07_Amy,LG_1p2mps,LG,1.2,-0.2311,0.2068,0.7745
ab07_amy_hip_1p6mps_lg_exo_on,0.2385233471307,0.8571002042224977,0.31349120416138343,0.7531571579252374,0.4193726179754754,0.5544848099472848,-2,0.9788229940534694,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -2 samples,/media/metamobility3/Samsung_T52/Results/processed/AB07_Amy/hip-exo/ik/LG_1p6mps_ik.mot,AB07_Amy,LG_1p6mps,LG,1.6,-0.241,0.4194,0.5545
ab08_seokhyun_hip_0p8mps_lg_exo_on,0.18243309083536136,0.4959556057748331,0.19641963581263563,0.4157060900466478,0.11470985743596304,0.8006959655601492,0,0.9838275012303516,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +0 samples,/media/metamobility3/Samsung_T52/Results/processed/AB08_Seokhyun/hip-exo/ik/LG_0p8mps_ik.mot,AB08_Seokhyun,LG_0p8mps,LG,0.8,-0.2361,0.1147,0.8007
ab08_seokhyun_hip_0p8mps_ra_exo_on,0.3287364636041667,0.2021043171965229,0.21224494972826102,0.6673978227559434,0.2184360191722806,0.6588672426132383,4,0.9646834573482367,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift +4 samples,/media/metamobility3/Samsung_T52/Results/processed/AB08_Seokhyun/hip-exo/ik/RA_0p8mps_ik.mot,AB08_Seokhyun,RA_0p8mps,RA,0.8,-0.1931,0.2184,0.6589
ab08_seokhyun_hip_1p2mps_lg_exo_on,0.16412907571850938,0.7923046232509037,0.1873054226376478,0.7295067181328689,0.1747308064077656,0.7645761054589548,-1,0.9814604654933059,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB08_Seokhyun/hip-exo/ik/LG_1p2mps_ik.mot,AB08_Seokhyun,LG_1p2mps,LG,1.2,-0.237,0.1747,0.7646
ab08_seokhyun_hip_1p6mps_lg_exo_on,0.19745171878763543,0.8243685131617832,0.22101415522175674,0.7799503307066358,0.23397741942175712,0.7541470842406693,-1,0.9758110610523811,model_in_angle_raw_R,model_in_vel_raw_R,no input LPF; logged raw vel; GT ID xcorr shift -1 samples,/media/metamobility3/Samsung_T52/Results/processed/AB08_Seokhyun/hip-exo/ik/LG_1p6mps_ik.mot,AB08_Seokhyun,LG_1p6mps,LG,1.6,-0.2351,0.234,0.7541
