trial,subject,condition,channel,rmse_awinda_nmpkg,r2_awinda,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase,corr_angle
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,hip_flexion_r,0.09036407645101263,0.8390844926168375,0.09215814376247818,0.8530393430635289,-1.9853766916304711,0.013954850446691425,0.9827577522448683
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,knee_angle_r,0.10544634697227585,0.7151911561814376,0.04879066581210709,0.8926344127954056,53.7293920433913,0.17744325661396798,0.9900477772243547
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,ankle_angle_r,0.2162328767009849,0.9245650277265013,0.1683496803255779,0.9340954018240177,22.14427200245859,0.009530374097516447,0.9035799973482889
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,hip_flexion_l,0.07512384310053179,0.9011408122000709,0.14056729428422565,0.8108031844335563,-87.11408852728222,-0.09033762776651466,0.9847384796574664
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,knee_angle_l,0.2995795272750325,0.09475978451480853,0.1488058937584604,0.6540035931879059,50.32841692755346,0.5592438086730974,0.988599146078452
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,ankle_angle_l,0.3802091953922031,0.7697941599874655,0.18545125241789118,0.9022232064399218,51.223890777657346,0.13242904645245634,0.8957081873801377
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,hip_flexion_r,0.13484068315999154,0.8648622729051408,0.1484081090037411,0.819590569137462,-10.061819271303682,-0.04527170376767886,0.9858726316779122
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,knee_angle_r,0.08633537976577316,0.900459149900868,0.08177011445133725,0.8929222041055996,5.2878267598074125,-0.007536945795268313,0.9858612144387541
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,ankle_angle_r,0.2020039746409846,0.9637516065100321,0.13337888168158188,0.9738530928338063,33.97214984574832,0.010101486323774167,0.9220670298323468
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,hip_flexion_l,0.08165231818070832,0.9390144746636183,0.1765500911180693,0.8318270180916911,-116.22177428856159,-0.10718745657192719,0.9887593241568361
