trial,trial_key,subject,task,condition,rmse_nmpkg,r2_nmpkg,offset_s,sync_method,platform,channel,source,lag_samples,xcorr_score,n_samples,speed_mps,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,model_in_ang_rmse_deg,model_in_vel_rmse_deg_s,rmse_enc_vs_vicon_nmpkg,encoder_replay_excluded,encoder_correction_note,encoder_xcorr_lag_samples,encoder_offset_deg,encoder_peak_trough_applied,encoder_peak_trough_lag_med,encoder_angle_key
ab05_maria_hip_0p8mps_ra_exo_on,AB05_Maria::RA_0p8mps,AB05_Maria,RA,RA_0p8mps,0.1325038388572895,0.8907588072261265,-0.12605654900001,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab05_maria_hip_1p2mps_lg_exo_on,AB05_Maria::LG_1p2mps,AB05_Maria,LG,LG_1p2mps,0.1127752232572566,0.9085123407155288,-0.2360392619999047,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab06_jimin_hip_0p8mps_lg_exo_on,AB06_Jimin::LG_0p8mps,AB06_Jimin,LG,LG_0p8mps,0.1396111071986529,0.759548394755936,-0.2380578849999692,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab06_jimin_hip_0p8mps_ra_exo_on,AB06_Jimin::RA_0p8mps,AB06_Jimin,RA,RA_0p8mps,0.1401900278867678,0.9087128202064522,-0.2400589330000275,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab06_jimin_hip_1p2mps_lg_exo_on,AB06_Jimin::LG_1p2mps,AB06_Jimin,LG,LG_1p2mps,0.1564865370667618,0.8586844772305318,-0.2270415169999222,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab06_jimin_hip_1p6mps_lg_exo_on,AB06_Jimin::LG_1p6mps,AB06_Jimin,LG,LG_1p6mps,0.2456635050660595,0.8080684791041121,-0.235055273999851,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab07_amy_hip_0p8mps_lg_exo_on,AB07_Amy::LG_0p8mps,AB07_Amy,LG,LG_0p8mps,0.1128216183912582,0.8505951554864826,-0.2160609780000013,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab07_amy_hip_0p8mps_ra_exo_on,AB07_Amy::RA_0p8mps,AB07_Amy,RA,RA_0p8mps,0.1323191367328913,0.9029108270813868,-0.2320614149999365,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab07_amy_hip_1p2mps_lg_exo_on,AB07_Amy::LG_1p2mps,AB07_Amy,LG,LG_1p2mps,0.2067695894055273,0.7744638651805298,-0.231058884999862,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab07_amy_hip_1p6mps_lg_exo_on,AB07_Amy::LG_1p6mps,AB07_Amy,LG,LG_1p6mps,0.4193726179754754,0.5544848099472848,-0.2410315930001669,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
