trial,condition,task,t_s,gt_nmpkg,model_out_nmpkg
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0,0.015795053476786825,0.06561933175728743
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.009995274999937465,0.037634080976556,0.0864497356347839
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.019999252999923556,0.059699591551746437,0.1070519038263982
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.029999198999917098,0.08154452243021562,0.12721928922529385
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.04000416999997469,0.10288118534254191,0.1467476942058789
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.04999678799993035,0.12371800728933484,0.16543958946164167
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.060001533999979983,0.14439460175833732,0.18310811756566653
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.07000138499995501,0.16542544636238238,0.19958110228359827
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.08000107499992737,0.1870839908471792,0.21470533375797454
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.0899930849999464,0.20916750512330587,0.2283512014225132
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.10000423199994657,0.23133463809296922,0.24041746309942824
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.10999304199992821,0.2535318960234535,0.2508356566217482
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.12000220499999159,0.2758041828641206,0.259573462055863
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.12999431099990488,0.29771577290654994,0.2666362667112059
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.13999393699998564,0.31833472161629,0.2720662960544656
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.14999317899992093,0.33669384850884054,0.27593894187921386
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.16001405399993018,0.3518296851317693,0.2783563084011965
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.16999086399994212,0.36260923265701295,0.27943845069145984
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.17998165799997423,0.3677609953771475,0.27931322205523373
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.18999571699998796,0.3659845910886014,0.2781059859836279
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.19999735899989446,0.35629453805878447,0.2759305941826063
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.20999445699999342,0.33847902535433866,0.27288292714823614
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2199992679999241,0.31355030103993975,0.2690379398604396
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.22998084599998947,0.2842237520739743,0.264450619712882
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2399931119999792,0.2547021164864026,0.259160657325287
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.24997852999990755,0.22952960728729424,0.25320007076682577
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2599992769999062,0.21226646763687929,0.24660260206828077
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2699955109999337,0.2044164258721295,0.2394134719622349
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2799960339999643,0.20502153413133414,0.23169804331582938
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.28999697199992625,0.2113013631732632,0.22354808518382768
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.2999921179999774,0.21984506670257678,0.21508461322244324
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3099865919999729,0.2276077251196031,0.20645667038460447
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.31999233099998037,0.23245725193955702,0.19783586679222878
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3299892689999524,0.23332852954948982,0.18940698054257726
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.33999532799998633,0.2301037764033859,0.18135538680841548
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3499944739999137,0.22334605136424743,0.17385247602351053
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3600045969999428,0.21399505091557894,0.16704048341614183
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.36999993499989614,0.20310247909489093,0.16101823402263588
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.3799903769998991,0.19164819901348928,0.1558291960395905
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.39000382799997624,0.18044608830917974,0.15145296244845832
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.40000153399989813,0.17012509489057573,0.1478009119568015
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4099973839998938,0.1611584624941907,0.1447164084559465
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.41999972999997226,0.15391168307573838,0.14197953849061973
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4299982689999524,0.1486847300936313,0.13931608632182282
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.44000480699992295,0.1457333199343583,0.13641021231979927
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.45000792199994066,0.1452648773200673,0.13292012867638844
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.45999490799999876,0.14741468811090588,0.1284959492687469
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4699815739999167,0.152212520104919,0.12279881777328754
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4800008479999178,0.15954996295324025,0.11552037639869323
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4900085389999731,0.1691573044411162,0.10640161264177174
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.4999916529999382,0.18059549346405,0.09525010438564203
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5100040479999279,0.19326251304767467,0.08195467708924337
ab04_changseob_hip_0p8mps_lg_exo_on,LG_0p8mps,LG,0.5199985859999288,0.20640097849067632,0.06649650603555343
