label,n_trials,rmse_mean,rmse_sd,r2_mean,r2_sd
hip_exo_assisted,31,0.17007926563963538,0.06574014124241469,0.7917505196092735,0.10056246773985243
awinda_hip_only_exo_model,32,0.1746426998334183,0.052689854169673714,0.718104023409013,0.17624275694103111
knee_exo_assisted,16,0.19234042309494223,0.039455199646507,0.6152682093264517,0.14073752849538576
awinda_knee_only_exo_model,16,0.35203464076880453,0.06047399064362356,-0.4655148975777912,0.3363442277138115
