trial,n,mean_rmse,mean_r2
AB03_Ilseung::LG_0p8mps,5350,0.08979471580000001,0.8405293211
AB03_Ilseung::RA_0p8mps,6076,0.1556887995,0.8957571684000001
AB03_Ilseung::RD_0p8mps,5248,0.1271917703,0.8778911086000001
AB03_Ilseung::LG_1p2mps,6500,0.1246253185,0.8852552504000001
AB03_Ilseung::LG_1p6mps,6500,0.1447069554,0.9049761447
