trial,n,mean_rmse,mean_r2
AB08_Seokhyun::LG_0p8mps,6500,0.10577092660000001,0.8559707405
AB08_Seokhyun::RA_0p8mps,6500,0.21197179900000002,0.7471206755
AB08_Seokhyun::RD_0p8mps,6500,0.13716628590000002,0.8838591816
AB08_Seokhyun::LG_1p2mps,6500,0.1208702641,0.8898156756000001
AB08_Seokhyun::LG_1p6mps,6500,0.1433968212,0.9241291583000001
