trial,condition,n,mean_rmse_deg,mean_r2,lag_samples
AB06_Jimin::LG_0p8mps,LG_0p8mps,6500,5.171887102315656,0.876510208546577,214
AB06_Jimin::LG_1p2mps,LG_1p2mps,6500,6.136168771943399,0.901941569556223,254
AB06_Jimin::LG_1p6mps,LG_1p6mps,6500,6.321040021893837,0.8791149997353803,290
AB06_Jimin::RA_0p8mps,RA_0p8mps,6500,7.208176854915447,0.9478609901615079,854
AB06_Jimin::RD_0p8mps,RD_0p8mps,6500,4.502176419056755,0.8127408933449575,842
