trial,n,mean_rmse,mean_r2_x,mean_rmse_deg,mean_r2_y,lag_samples
AB08_Seokhyun::LG_0p8mps,6500,0.10577092660000001,0.8559707405,5.490964400446974,0.9327399150795901,214
AB08_Seokhyun::RA_0p8mps,6500,0.21197179900000002,0.7471206755,7.49958352733051,0.9611968512827659,631
AB08_Seokhyun::RD_0p8mps,6500,0.13716628590000002,0.8838591816,5.611541437534832,0.9345253545875352,183
AB08_Seokhyun::LG_1p2mps,6500,0.1208702641,0.8898156756000001,5.762802195725719,0.9343327923847786,181
AB08_Seokhyun::LG_1p6mps,6500,0.1433968212,0.9241291583000001,5.827125056999438,0.9303072377161001,172
