trial,condition,n,mean_rmse_deg,mean_r2,lag_samples
AB02_Oscar::LG_0p8mps,LG_0p8mps,6500,10.74816023305826,0.913891259540903,386
AB02_Oscar::LG_1p2mps,LG_1p2mps,6500,10.99327926445318,0.9273608598723646,360
AB02_Oscar::LG_1p6mps,LG_1p6mps,6500,10.382444147782943,0.9396828903468721,223
AB02_Oscar::RA_0p8mps,RA_0p8mps,6500,8.322124038515549,0.9707510829359745,297
AB02_Oscar::RD_0p8mps,RD_0p8mps,6500,11.208296831204317,0.8498856814279957,357
