trial,n,mean_rmse,mean_r2_x,mean_rmse_deg,mean_r2_y,lag_samples
AB04_Changseob::LG_0p8mps,6500,0.12920952800000002,0.8096254038,5.510260684047915,0.9250225584235903,722
AB04_Changseob::RA_0p8mps,6500,0.17135249190000001,0.8666590237,4.519506431949502,0.9766052045948856,705
AB04_Changseob::RD_0p8mps,6500,0.159458248,0.8088288997,5.866614678515959,0.8572322716780191,750
AB04_Changseob::LG_1p2mps,6500,0.10002657270000001,0.9389106456,5.608157062584272,0.9271692645796071,1624
AB04_Changseob::LG_1p6mps,6500,0.1105377005,0.9641475332,5.699170291154416,0.9363460069009526,643
