trial,condition,n,mean_rmse_deg,mean_r2,lag_samples
AB04_Changseob::LG_0p8mps,LG_0p8mps,6500,5.510260684047915,0.9250225584235903,722
AB04_Changseob::LG_1p2mps,LG_1p2mps,6500,5.608157062584272,0.9271692645796071,1624
AB04_Changseob::LG_1p6mps,LG_1p6mps,6500,5.699170291154416,0.9363460069009526,643
AB04_Changseob::RA_0p8mps,RA_0p8mps,6500,4.519506431949502,0.9766052045948856,705
AB04_Changseob::RD_0p8mps,RD_0p8mps,6500,5.866614678515959,0.8572322716780191,750
